37730 130130 5
1271677 131002 2
427995 131 2
1370000 130303 1
393864 11233300 7
558525 1132022 9
393557 11233 7
397308 1123 5
1004409 1303 6
556945 130330 5
780077 13031 5
400049 13102310 2
65259 11 6
10826 13122 2
1394385 1 5
983789 1123 6
461511 130101 6
1549254 1312 2
1657652 1123 5
1351091 13011 5
1581793 1310223 11
869129 130 5
1066359 13120 2
878445 1132220 8
1764463 13 1
190246 11231 2
524099 1312030 9
517066 112300 2
1498824 1310 2
572112 1301 5
398349 11233 6
47300 13 1
773714 130102 3
278546 130113 5
1367571 1 5
1161499 13102 1
1251528 13102 5
899107 112312 5
756077 130331 1
1055049 1301 5
1241341 1301 1
1747388 131 2
1206517 131201 2
918621 13120 1
440791 130131 1
82475 1 5
585681 131003 2
493302 11231 7
1203402 1310 2
1726517 11231 6
1293924 131 2
909206 13102 5
414682 13 1
1242590 112110 10
951021 131 2
985495 13011 6
722096 13102 9
1243550 131012 5
59065 1132 2
1264694 131203 2
1281491 112321 1
541979 11 6
1757728 13102 7
1123172 130 5
1486490 1 5
180048 112132 5
1495011 1103 11
1216743 13 1
384737 13120 2
79917 1310211 2
430590 131021 2
836985 1123322 7
1264886 13102 2
47171 130121 5
1096940 11231 11
1112479 1310 2
914890 13122101 6
294511 13 1
1196012 1310200 2
746077 13011 6
1662461 130313 5
4296 130331 1
1185091 130 5
854011 1 5
934372 1301 5
771940 130 5
1216896 11233 5
1168928 1310210 7
1595712 13122 1
1546603 13 1
894933 1301 2
814770 13100 2
129723 130120 1
67558 131023 1
1344680 13011 2
1288299 13031 5
520839 1310003 5
345239 1303312 5
142038 11233 7
1280144 11233 5
560743 13102 5
107094 11233 9
1721533 1301 2
1172765 13031 1
722830 11 6
1072074 11 6
339486 130130 1
1200669 112 5
173969 113200 11
909262 13011 5
662537 1121 5
424014 13120303 10
1354165 130 5
958034 130 1
1707672 1312001 11
1213096 113201 2
414081 13031 10
66558 1 5
598855 13 1
309213 13 1
416645 1132022 2
1720589 13100 8
429056 1 5
1296469 112131 1
1373052 13120030 7
12812 13012 5
1476360 131203 10
1100584 131022 5
63974 112330 7
262676 13011 6
1259340 11230 2
1097900 1301 2
34839 1301312 10
60051 13 1
1373946 11213 11
565770 1121102 5
1039656 131 2
1467785 1312001 6
1403715 1 5
628458 13102 2
781685 130131 5
526685 1310 2
164435 131012 5
1025659 112 5
1496632 112301 8
724770 1 5
791843 130323 2
740046 1 5
598845 1 5
448730 131 2
1785439 1303312 2
1083987 13 1
49040 11320 6
1659193 13010 5
635413 1310221 10
488947 112 5
1586017 13 1
1098610 1301303 1
19692 1312202 10
856636 1303 5
1411056 1121 5
610987 11232 1
1481595 112313 5
11907 11 2
1088308 13011 5
12271 130331 7
1444776 131200 1
1570416 1310 2
766980 1301103 5
557492 1312 2
296214 130111 2
1177650 130122 2
1570870 1123 5
860098 13011 6
1531104 11213 5
151508 130113 1
329151 1312020 2
923914 130 5
803386 1301 2
1004842 11 6
63949 1310 2
946791 1123 5
367329 112 5
1106156 13 1
1111922 11210 5
1333035 112311 1
1388858 1312 2
470448 1123 2
366376 1132202 5
1046551 1303031 6
633651 1312032 5
93168 13011 7
1044050 11211 2
810203 112 5
808046 131200 7
343943 1301120 2
935908 13031 6
60822 1301 2
1146844 112331 2
385960 1123 6
1695701 1130 2
1581044 13102 6
207249 1301 5
1109460 1310 2
1094764 113203 2
226932 113 2
1791159 13 1
356826 130102 7
974425 130110 1
646152 13033 9
71049 11210310 5
1442384 13012 2
79402 1303232 2
1343902 13031 2
212578 13102 5
52297 112 6
169937 11231 9
1513648 11 6
1541946 1123110 5
1551958 131031 9
1744071 112313 5
1757476 1301 5
656609 1123 5
606666 131220 2
1195514 131022 2
52568 13 1
327105 1123121 8
461569 130331 2
1340048 130103 5
550095 1310 2
690926 131 2
1549269 1310 2
1005905 131 2
374612 11 6
369765 1123133 5
116270 131030 7
1679029 1301130 10
1375739 1312 2
299849 112123 2
1165262 113223 2
1729258 130130 1
514241 131023 2
180057 1 5
1000068 130101 2
268736 13013 6
987111 1121 1
1229738 131 2
1151900 11 6
530997 130103 1
796171 1 5
271384 1132 2
288119 1123 5
118813 130 5
757318 13030 5
1430918 131020 2
871671 11232 1
677489 1312032 1
1241602 13211 11
544918 1312 2
1529482 1310223 2
1261149 1310020 5
1286394 13010 5
1687948 1301 7
1329593 1310200 2
787816 11233221 10
1000857 11 6
1057211 130122 2
1614503 11221331 9
808407 112330 2
1445341 130300 2
1537623 1303 5
1478187 1121121 1
84084 1123232 8
1313675 13103 5
580065 13102 9
831511 11231 5
1217665 1303 5
817296 131201 2
1443519 131 2
1758757 1301 5
1664734 112311 5
1202094 112 5
572942 1301 5
942436 112 5
656151 131023 11
843646 112 5
567730 1 5
942670 1 5
874981 13 1
1297012 13120 8
949622 1310220 10
640956 1 5
1592119 1121012 7
1156621 1310 2
1050607 112 5
1611428 1303 5
1233607 130133 6
622101 1123303 8
1160282 1123 5
378712 1123031 5
1382670 13102 2
1139422 130131 5
1267896 131203 2
1517802 113220 2
1355454 13102 6
190919 1312030 6
1531178 13102 5
819277 1 5
1559323 1121 2
1431325 1301 1
680109 1123133 1
1109696 13010 5
534308 1 5
62327 1121 5
579999 1 5
1341677 110332 9
1663388 13013 2
1462340 1312002 9
197473 1310 6
490381 112132 9
1321742 130313 6
1251963 11230 5
373841 1 5
299531 130311 2
90836 130311 2
90019 131 2
1175514 13120 5
1666741 11212 5
567565 13011 6
1078568 130130 2
1587987 11321 7
1420720 112313 8
1197059 11231 5
745588 1123332 7
910984 11231 5
1141013 11233 6
953194 1123 2
504792 130 5
38591 1301 5
513320 13011 2
1351800 1301 5
701923 130331 2
301630 1303 5
1036320 11233 1
1327226 13010 5
1118139 1303 1
429757 131 2
129337 131 2
1001675 1310203 6
1623861 13102 1
190012 1303132 2
1304594 1121102 11
466597 13012 1
